Regione,Produzione da FER (%),Note principali
Lombardia,14%,Maggiore produttore nazionale di energia da FER. (GSE)
Puglia,11%,Elevata produzione grazie a fotovoltaico ed eolico. (GSE)
Piemonte,8%,Forte presenza di impianti idroelettrici. (GSE)
Sicilia,7%,Buona diffusione di fotovoltaico e idroelettrico. (GSE)
Campania,6%,Crescita del fotovoltaico e dell'eolico. (GSE)
Emilia-Romagna,6%,Buona penetrazione del fotovoltaico e dell'eolico. (GSE)
Toscana,5%,Presenza significativa di impianti geotermici e fotovoltaici. (GSE)
Lazio,5%,Sviluppo del fotovoltaico e dell'eolico. (GSE)
Veneto,4%,Crescita del fotovoltaico e dell'eolico. (GSE)
Friuli Venezia Giulia,3%,Buona diffusione di impianti fotovoltaici e idroelettrici. (GSE)
Marche,3%,Presenza di impianti fotovoltaici e idroelettrici. (GSE)
Calabria,3%,Sviluppo del fotovoltaico e dell'eolico. (GSE)
Abruzzo,2%,Buona diffusione di impianti fotovoltaici e idroelettrici. (GSE)
Molise,2%,Crescita del fotovoltaico e dell'eolico. (GSE)
Basilicata,2%,Elevata produzione grazie a geotermia e fotovoltaico. (GSE)
Sardegna,2%,Buona diffusione di impianti fotovoltaici e idroelettrici. (GSE)
Umbria,1%,Sviluppo del fotovoltaico e dell'eolico. (GSE)
Valle d'Aosta,1%,Presenza di impianti idroelettrici e fotovoltaici. (GSE)